snake: x=4, y=37
new position: x=95, y=24
snake: x=8, y=37
snake: x=12, y=37
snake: x=16, y=37
snake: x=20, y=37
snake: x=24, y=37
snake: x=28, y=37
snake: x=32, y=37
snake: x=36, y=37
snake: x=40, y=37
snake: x=44, y=37
snake: x=48, y=37
snake: x=52, y=37
snake: x=56, y=37
snake: x=60, y=37
snake: x=64, y=37
snake: x=68, y=37
snake: x=72, y=37
snake: x=76, y=37
snake: x=80, y=37
snake: x=84, y=37
snake: x=88, y=37
snake: x=92, y=37
snake: x=92, y=35
snake: x=92, y=33
snake: x=92, y=31
snake: x=92, y=29
snake: x=92, y=27
snake: x=92, y=25
new position: x=60, y=7
snake: x=92, y=23
snake: x=92, y=21
snake: x=92, y=19
snake: x=92, y=17
snake: x=92, y=15
snake: x=92, y=13
snake: x=92, y=11
snake: x=92, y=9
snake: x=92, y=7
snake: x=92, y=5
snake: x=88, y=5
snake: x=84, y=5
snake: x=80, y=5
snake: x=76, y=5
snake: x=72, y=5
snake: x=68, y=5
snake: x=64, y=5
snake: x=60, y=5
snake: x=60, y=7
new position: x=58, y=9
snake: x=60, y=9
new position: x=10, y=31
snake: x=60, y=11
snake: x=60, y=13
snake: x=60, y=15
snake: x=60, y=17
snake: x=60, y=19
snake: x=56, y=19
snake: x=52, y=19
snake: x=48, y=19
snake: x=44, y=19
snake: x=40, y=19
snake: x=36, y=19
snake: x=32, y=19
snake: x=28, y=19
snake: x=24, y=19
snake: x=20, y=19
snake: x=20, y=21
snake: x=20, y=23
snake: x=20, y=25
snake: x=20, y=27
snake: x=16, y=27
snake: x=12, y=27
snake: x=12, y=29
snake: x=12, y=31
new position: x=58, y=46
snake: x=12, y=33
snake: x=12, y=35
snake: x=12, y=37
snake: x=12, y=39
snake: x=16, y=39
snake: x=20, y=39
snake: x=24, y=39
snake: x=28, y=39
snake: x=32, y=39
snake: x=36, y=39
snake: x=36, y=41
snake: x=36, y=43
snake: x=40, y=43
snake: x=44, y=43
snake: x=48, y=43
snake: x=52, y=43
snake: x=56, y=43
snake: x=60, y=43
snake: x=64, y=43
snake: x=68, y=43
snake: x=72, y=43
snake: x=76, y=43
snake: x=80, y=43
snake: x=80, y=41
snake: x=80, y=39
snake: x=80, y=37
snake: x=80, y=35
snake: x=80, y=33
snake: x=80, y=31
snake: x=80, y=29
snake: x=80, y=27
snake: x=80, y=25
snake: x=80, y=23
snake: x=80, y=21
snake: x=80, y=19
snake: x=80, y=17
snake: x=80, y=15
snake: x=80, y=13
snake: x=80, y=11
snake: x=80, y=9
snake: x=76, y=9
snake: x=72, y=9
snake: x=68, y=9
snake: x=64, y=9
snake: x=60, y=9
snake: x=56, y=9
snake: x=52, y=9
snake: x=48, y=9
snake: x=44, y=9
snake: x=40, y=9
snake: x=36, y=9
snake: x=32, y=9
snake: x=28, y=9
snake: x=24, y=9
snake: x=20, y=9
snake: x=20, y=11
snake: x=20, y=13
snake: x=20, y=15
snake: x=20, y=17
snake: x=20, y=19
snake: x=24, y=19
snake: x=28, y=19
snake: x=32, y=19
snake: x=36, y=19
snake: x=40, y=19
snake: x=44, y=19
snake: x=48, y=19
snake: x=52, y=19
snake: x=56, y=19
snake: x=60, y=19
snake: x=64, y=19
snake: x=64, y=17
snake: x=64, y=15
snake: x=64, y=13
snake: x=64, y=11
snake: x=60, y=11
snake: x=56, y=11
snake: x=52, y=11
snake: x=48, y=11
snake: x=44, y=11
snake: x=44, y=9
snake: x=44, y=7
snake: x=44, y=5
snake: x=44, y=3
snake: x=48, y=3
snake: x=52, y=3
snake: x=56, y=3
snake: x=60, y=3
snake: x=64, y=3
snake: x=68, y=3
snake: x=72, y=3
snake: x=72, y=5
snake: x=72, y=7
snake: x=72, y=9
snake: x=72, y=11
snake: x=72, y=13
snake: x=72, y=15
snake: x=72, y=17
snake: x=72, y=19
snake: x=72, y=21
snake: x=72, y=23
snake: x=68, y=23
snake: x=64, y=23
snake: x=60, y=23
snake: x=56, y=23
snake: x=52, y=23
snake: x=52, y=21
snake: x=52, y=19
snake: x=52, y=17
snake: x=52, y=15
snake: x=48, y=15
snake: x=44, y=15
snake: x=40, y=15
snake: x=36, y=15
snake: x=32, y=15
snake: x=28, y=15
snake: x=28, y=17
snake: x=28, y=19
snake: x=28, y=21
snake: x=28, y=23
snake: x=28, y=25
snake: x=28, y=27
snake: x=32, y=27
snake: x=36, y=27
snake: x=40, y=27
snake: x=44, y=27
snake: x=48, y=27
snake: x=52, y=27
snake: x=56, y=27
snake: x=60, y=27
snake: x=64, y=27
snake: x=64, y=25
snake: x=64, y=23
snake: x=64, y=21
snake: x=64, y=19
snake: x=64, y=17
snake: x=64, y=15
snake: x=64, y=13
snake: x=64, y=11
snake: x=64, y=9
snake: x=60, y=9
snake: x=56, y=9
snake: x=52, y=9
snake: x=48, y=9
snake: x=44, y=9
snake: x=40, y=9
snake: x=36, y=9
snake: x=32, y=9
snake: x=32, y=11
snake: x=32, y=13
snake: x=32, y=15
snake: x=32, y=17
snake: x=32, y=19
snake: x=32, y=21
snake: x=32, y=23
snake: x=32, y=25
snake: x=32, y=27
snake: x=36, y=27
snake: x=40, y=27
snake: x=44, y=27
snake: x=48, y=27
snake: x=52, y=27
snake: x=56, y=27
snake: x=60, y=27
snake: x=64, y=27
snake: x=64, y=25
snake: x=64, y=23
snake: x=64, y=21
snake: x=64, y=19
snake: x=64, y=17
snake: x=64, y=15
snake: x=64, y=13
snake: x=60, y=13
snake: x=56, y=13
snake: x=52, y=13
snake: x=48, y=13
snake: x=44, y=13
snake: x=40, y=13
snake: x=40, y=11
snake: x=40, y=9
snake: x=40, y=7
snake: x=40, y=5
snake: x=44, y=5
snake: x=48, y=5
snake: x=52, y=5
snake: x=56, y=5
snake: x=60, y=5
snake: x=64, y=5
snake: x=68, y=5
snake: x=72, y=5
snake: x=76, y=5
snake: x=80, y=5
snake: x=84, y=5
snake: x=88, y=5
snake: x=92, y=5
snake: x=92, y=5
snake: x=92, y=7
snake: x=92, y=9
snake: x=92, y=11
snake: x=92, y=13
snake: x=92, y=15
snake: x=92, y=17
snake: x=92, y=19
snake: x=92, y=21
snake: x=92, y=23
snake: x=92, y=25
snake: x=92, y=27
snake: x=92, y=29
snake: x=92, y=31
snake: x=92, y=33
snake: x=92, y=35
snake: x=92, y=37
snake: x=92, y=39
snake: x=92, y=41
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
snake: x=92, y=43
